Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1845.8473,NA,2.23320000000000,16.63120000000000,0.00000000000000,0.17970000000000,27.9801,1843.6141,2.2332,2.2332,0.0000,0.4597,1.9532,0.2804,1.6728,365.8407,1843.6141,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1861.2877,NA,16.67720000000000,16.72170000000000,0.33630000000000,0.70990000000000,29.2614,1844.8266,16.7974,16.4611,0.3363,16.6173,0.5537,0.5454,0.0083,-14.1538,1844.8266,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1877.6588,NA,31.81150000000000,16.72170000000000,0.00000000000000,0.19960000000000,12.8903,1845.8473,31.8115,31.8115,0.0000,0.1797,31.8314,0.5789,31.2525,-14.4885,1845.8473,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1877.7061,NA,16.41840000000000,16.76020000000000,0.34000000000000,1.31550000000000,29.6032,1861.6240,16.4221,16.0821,0.3400,16.2841,1.1135,1.1080,0.0055,0.0372,1861.6240,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1894.4788,NA,16.82000000000000,16.76020000000000,0.00000000000000,0.09770000000000,12.8305,1877.6588,16.8200,16.8200,0.0000,0.1996,16.7181,0.5075,16.2106,15.0513,1877.6588,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1894.4662,NA,16.76010000000000,16.68940000000000,0.29460000000000,0.78110000000000,29.5325,1878.0461,16.7147,16.4201,0.2946,16.6029,0.5983,0.5933,0.0050,-0.2673,1878.0461,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1911.2694,NA,16.79060000000000,16.68940000000000,0.00000000000000,0.10920000000000,12.7293,1894.4788,16.7906,16.7906,0.0000,0.0977,16.8021,0.4787,16.3234,0.1306,1894.4788,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1911.2694,NA,16.80320000000000,16.74100000000000,0.38010000000000,1.32920000000000,29.4703,1894.7608,16.8887,16.5086,0.3801,16.7373,1.1005,1.0929,0.0076,-0.0263,1894.7608,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1927.8065,NA,16.53710000000000,16.74100000000000,0.00000000000000,0.26230000000000,12.9332,1911.2694,16.5371,16.5371,0.0000,0.1092,16.6902,0.6578,16.0324,0.0496,1911.2694,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1927.8739,NA,16.60450000000000,16.71200000000000,0.36760000000000,0.29420000000000,29.5778,1911.6495,16.5920,16.2244,0.3676,16.3900,0.1286,0.1118,0.0168,0.1767,1911.6495,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1944.8654,NA,17.05890000000000,16.71200000000000,0.00000000000000,0.13740000000000,12.5863,1927.8065,17.0589,17.0589,0.0000,0.2623,16.9340,0.5519,16.3821,-0.1749,1927.8065,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1944.7607,NA,16.88680000000000,16.71140000000000,0.44140000000000,0.90010000000000,29.4024,1928.2415,16.9606,16.5192,0.4414,16.8028,0.6165,0.6111,0.0054,-0.1194,1928.2415,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1961.2118,NA,16.34640000000000,16.71140000000000,0.00000000000000,0.14880000000000,12.9513,1944.8654,16.3464,16.3464,0.0000,0.1374,16.3578,0.4056,15.9522,0.3475,1944.8654,NA,NA,NA
